sample_id,visit_id,pcr_primers_ae,total_sequencing_reads_ae,reads_with_pcr_primers_ae,filtered_reads_ae,pcr_primers_tb,total_sequencing_reads_tb,reads_with_pcr_primers_tb,filtered_reads_tb,anaplasma_bovis_u03775_ae,anaplasma_bovis_ab983439_ae,anaplasma_marginale_cp000030_ae,anaplasma_platys_like_ku585990_ae,anaplasma_phagocytophilum_u02521_ae,candidatus_anaplasma_boleense_ku586025_ae,uncultured_anaplasma_sp_clone_saso_ky924885_ae,uncultured_anaplasma_sp_jn862825_ae,ehrlichia_sp_tibet_ehrlichia_canis_ehrlichia_minasensis_af414399_ay394465_mt163430_ae,ehrlichia_ruminantium_x61659_ae,anaplasma_platys_ef139459_ae,babesia_bigemina_ay603402_tb,babesia_bigemina_lk391709_tb,babesia_bigemina_ku206291_tb,theileria_mutans_af078815_tb,theileria_sp_strain_msd_af078816_tb,theileria_parva_l02366_tb,theileria_taurotragi_l19082_tb,theileria_velifera_af097993_tb,babesia_bovis_kf928959_tb,babesia_bovis_aaxt01000002_tb,babesia_bovis_ay603398_tb,babesia_bigemina_lk391709_2_tb,babesia_bovis_jq437260_tb,calf_id,visit_date,dead_or_alive_at_end_of_study,date_last_visit_with_data,date_of_birth,calf_sex,serology_t_parva,serology_t_mutans,serology_b_bigemina,serology_a_marginale,sample_week,date_of_death,euthanised,immediate_cause_pathology,definitive_aetiological_cause,definitive_cause_pathogen,contributing_pathology_1,contributing_cause_1,agro_ecological_zones,haemonchosis_coinfection,dead_or_alive_simple,event,time_to_event,genotype,died
RED002159,VRC310037,AnEh,53232,40529,31761,ThBa,115,2,0,1431,0,0,18203,0,0,6170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010210037,2008-11-19,Alive,NA,2008-04-17,F,73.5,81.5,2,52.5,31,NA,NA,NA,Alive,NA,NA,NA,Kidera (2),NA,Alive,0,51,CC,No
RED002160,VRC060044,AnEh,247138,209042,186677,ThBa,2316,16,0,0,0,0,82535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010210044,2008-11-19,Alive,NA,2008-10-08,M,28,3.5,8.5,8,6,NA,NA,NA,Alive,NA,NA,NA,Kidera (2),NA,Alive,0,51,CC,No
RED002161,VRC210041,NA,0,0,0,NA,0,0,0,0,50598,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,CA010210041,2008-11-19,Alive,NA,2008-06-27,M,5,26.5,2,2,21,NA,NA,NA,Alive,NA,NA,NA,Kidera (2),NA,Alive,0,51,CT,No
RED002163,VRC110043,AnEh,8542,6399,5480,ThBa,87249,67943,48079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,46235,0,0,0,0,0,0,0,CA010210043,2008-11-19,Alive,NA,2008-09-03,M,14,67.5,35,5,11,NA,NA,NA,Alive,NA,NA,NA,Kidera (2),NA,Alive,0,51,CC,No
RED002166,VRC260280,NA,0,0,0,NA,0,0,0,5452,19728,0,0,0,0,0,0,0,0,0,0,0,0,43584,10006,0,0,0,0,0,0,0,0,CA031010280,2008-11-20,Alive,NA,2008-05-20,F,8,44,19.5,10.5,26,NA,NA,NA,Alive,NA,NA,NA,Bukati (10),NA,Alive,0,51,CT,No
RED002167,VRC210281,AnEh,2089,1032,892,ThBa,12138,5753,4580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,598,0,0,0,0,0,0,0,0,CA031010281,2008-11-20,Dead: Infectious death,2009-04-09,2008-06-25,F,7,72.5,2,5,21,2009-05-09,No,Anemia (whole blood loss),Censored,Haemonchus placei,Hypoproteinaemia,Helminthisasis,Bukati (10),absent,Dead,0,45.42857142857143,TT,Other
RED002168,VRC310278,AnEh,113872,77405,63929,ThBa,9523,6703,4696,1397,4866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,2920,0,0,0,0,0,0,CA031010278,2008-11-20,Alive,NA,2008-04-16,F,65,2,4,2.5,31,NA,NA,NA,Alive,NA,NA,NA,Bukati (10),NA,Alive,0,51,CC,No
RED002169,VRC360276,AnEh,36387,27842,24210,ThBa,100968,73530,57598,0,0,0,0,0,0,10810,0,0,0,0,0,0,0,19968,2593,13771,0,21172,0,0,0,0,0,CA031010276,2008-11-20,Alive,NA,2008-03-14,M,87,6,3,29,36,NA,NA,NA,Alive,NA,NA,NA,Bukati (10),NA,Alive,0,51,CC,No
RED002171,VCC010123,AnEh,27841,21341,18041,ThBa,232382,121434,100494,0,0,0,3018,0,0,3529,0,0,0,0,0,0,0,59707,17245,0,0,22778,0,0,0,0,0,CA020510123,2008-11-20,Alive,NA,2007-12-04,M,NA,NA,NA,NA,1,NA,NA,NA,Alive,NA,NA,NA,Kamunuoit (5),NA,Alive,0,51,CT,No
RED002172,VRC310426,NA,0,0,0,NA,0,0,0,0,1867,0,108413,0,0,11704,0,0,0,0,0,0,0,46732,0,0,0,785,0,0,0,0,0,CA041510426,2008-11-24,Alive,NA,2008-04-21,M,15.5,13.5,2,3.5,31,NA,NA,NA,Alive,NA,NA,NA,Namboboto (15),NA,Alive,0,51,CT,No
RED002173,VRC110432,AnEh,25531,16786,13967,ThBa,1884,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA041510432,2008-11-24,Alive,NA,2008-09-12,M,16.5,73,3,4,11,NA,NA,NA,Alive,NA,NA,NA,Namboboto (15),NA,Alive,0,51,CC,No
RED002174,VRC060434,AnEh,54943,51254,47191,ThBa,138,58,41,0,0,0,46392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA041510434,2008-11-24,Alive,NA,2008-10-15,F,28.5,2,2,2.5,6,NA,NA,NA,Alive,NA,NA,NA,Namboboto (15),NA,Alive,0,51,CC,No
