"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA031310364","F","31",21,"Yiro West (13)"
"CA031310361","M","34",31,"Yiro West (13)"
"CA031310366","F","26",16,"Yiro West (13)"
"CA010110001","F","37",31,"East Siboti (1)"
"CA010110005","F","41",21,"East Siboti (1)"
"CA010110008","M","25",6,"East Siboti (1)"
"CA010110002","M","42",31,"East Siboti (1)"
"CA010110007","F","49.5",16,"East Siboti (1)"
"CA010110004","F","45",26,"East Siboti (1)"
"CA010110009","F","25",6,"East Siboti (1)"
"CA010110006","F","37",16,"East Siboti (1)"
"CA020610157","F","32",16,"Karisa (6)"
"CA020610153","F","50",26,"Karisa (6)"
"CA020610152","M","77",31,"Karisa (6)"
"CA020610151","M","45",26,"Karisa (6)"
"CA020610156","M","38",16,"Karisa (6)"
"CA020610159","F","23",6,"Karisa (6)"
"CA031210333","M","40",21,"Bumala A (12)"
"CA031210334","M","40",16,"Bumala A (12)"
"CA031210331","M","43",31,"Bumala A (12)"
"CA041610452","F","37",21,"Ojwando B (16)"
"CA041610454","F","33",21,"Ojwando B (16)"
"CA041610451","F","30",26,"Ojwando B (16)"
"CA020410091","M","51",31,"Mabusi (4)"
"CA020410092","M","37",31,"Mabusi (4)"
"CA020410094","F","41",21,"Mabusi (4)"
"CA020410095","M","29",6,"Mabusi (4)"
"CA020410096","F","34",6,"Mabusi (4)"
"CA030710184","M","42",21,"Otimong (7)"
"CA030710187","M","22",6,"Otimong (7)"
"CA030710188","M","27",6,"Otimong (7)"
"CA030710181","F","50",31,"Otimong (7)"
"CA030710185","M","55",21,"Otimong (7)"
"CA030710186","M","48",16,"Otimong (7)"
"CA030710182","M","50",26,"Otimong (7)"
"CA041710482","M","65",31,"Kodiere (17)"
"CA010310065","F","29",6,"Kokare (3)"
"CA030910242","F","49",31,"Bulwani (9)"
"CA030910243","F","36",26,"Bulwani (9)"
"CA030910241","F","39",31,"Bulwani (9)"
"CA030910244","M","26",6,"Bulwani (9)"
"CA051810517","M","24",11,"Luanda (18)"
"CA051810511","M","53",31,"Luanda (18)"
"CA051810515","F","30",21,"Luanda (18)"
"CA031410391","M","69",31,"Simur East (14)"
"CA031410392","F","37",21,"Simur East (14)"
"CA031410394","M","26",6,"Simur East (14)"
"CA031410393","F","39",21,"Simur East (14)"
"CA031410395","F","28",6,"Simur East (14)"
"CA010210036","F","29",11,"Kidera (2)"
"CA010210035","F","29",11,"Kidera (2)"
"CA010210038","M","27",6,"Kidera (2)"
"CA010210031","F","40",31,"Kidera (2)"
"CA010210033","F","43",26,"Kidera (2)"
"CA010210034","F","49",21,"Kidera (2)"
"CA010210037","F","25",6,"Kidera (2)"
"CA010210032","F","50",26,"Kidera (2)"
"CA031010272","M","58",31,"Bukati (10)"
"CA031010273","M","37",26,"Bukati (10)"
